ID	X	Y	func	noise	original_trajectory,,
624600	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	60.96452926660558,49.91134384488899,47.75492699483456,39.23484252535661,23.793688689774456,14.372680374389603,3.4851570594050827,1.3889892393553964,-4.2049047015415795,-17.068493320060043,-24.30167806748912,-32.69660471368917,-45.452484726982135,-55.91779412377244,-58.88946908913118,-72.52735235882957,-77.25849266221255,-86.58121639038868,-101.00384572664197,-103.93080717066073	linear	0.08	624600,,
624601	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	57.449071277003995,56.308420398568416,58.56202591538774,62.62144222123783,64.95880593661907,69.27224740344033,73.98983192608159,75.84982482772448,77.11755443861126,82.62022356253955,85.27980218447541,88.06053020565275,91.66601358218199,94.1606885563655,97.25514469513367,98.72216408859899,103.92756832609699,106.86049213898323,107.04491117190952,112.12945859941415	linear	0.08	624601,,
624602	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.34436170615557,42.46710120007691,43.38747769015695,43.46030799658868,44.64070661185537,48.0752287166915,51.205150954175934,57.09029746315389,58.76836527635425,64.34508141267949,67.63764958878136,71.21297895476971,76.06345811430177,81.24758582576453,84.71833141184446,88.80383884654708,92.97899104050849,95.88465133958294,100.54305385321865,103.31055960154234	linear	0.08	624602,,
624603	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-22.383634787144473,-21.69984702879887,-23.018461903386026,-20.974003998392035,-22.499963697827084,-17.271117964865837,-9.268435614605835,-2.021067123280787,3.362368049820546,6.5703783743889375,10.470576669799442,21.556433892189403,28.70400287283882,29.08679729886346,38.039168137452364,40.72585577509271,50.14815246908148,56.7205044211008,64.1918619521044,69.17378482368136	linear	0.08	624603,,
624604	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-55.11660512790563,-57.18700991701418,-57.22353217769803,-59.54834429492105,-63.19542193126041,-64.48413428322945,-66.7436786287441,-69.27361035411613,-71.05845705228253,-73.17040870865574,-75.23274619440943,-75.17509555634405,-78.45394356454588,-81.02900416233396,-81.13445791937642,-83.6060637308232,-86.10232453901804,-89.32402613572177,-89.94674618041752,-91.46688539115773	linear	0.08	624604,,
624605	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-88.89641097162593,-92.09093337871654,-90.85796145103095,-104.60440550105281,-111.52000444899795,-122.37452306052185,-128.87492331237294,-137.3232974314412,-152.07456393602342,-158.83146547511583,-166.41353378360924,-173.15427882171923,-186.96742683833938,-187.6874918130828,-205.58433274779335,-208.47775681255024,-215.92519822729633,-233.2963205433401,-234.439188846168,-241.79739836350836	linear	0.08	624605,,
624606	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-1.5358165665594932,-0.3872910743644802,-1.5083052426671806,-1.6747861287372423,-0.18502568005948916,1.1479696112734352,3.2449809545677937,5.790419128836994,7.18421639803022,8.30657105588772,10.051712107204992,12.133695811553963,14.727793952976462,16.26178060034793,19.70088382975955,21.263096696449672,21.84091343801978,24.293527318831863,27.275231678755908,27.929491086461226	linear	0.08	624606,,
624607	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	101.34094321592974,99.91320869599464,100.43780946083184,100.76306284222036,99.11945698051521,96.21615888227842,94.39275858376834,90.45472638838783,89.38593376667146,84.86357638229606,81.41878191237964,78.67724624701762,75.83413172496495,72.78945508287742,70.7458704092449,67.5682795932461,64.08065957520849,62.12739401264798,57.773995540502234,56.962189477842244	linear	0.08	624607,,
624608	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	35.77642263374393,37.57341387621992,38.48793693922977,38.637503155449494,37.54188292494476,41.61144980085219,43.80023413887092,46.22178315207161,47.770622837718065,53.73771900475471,54.08306151701122,57.86454160849377,61.88567514701555,65.6487471094004,66.68103966357653,71.46558556609241,73.00883636197082,75.04026797201458,78.3346325386135,83.15345829237052	linear	0.08	624608,,
624609	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-98.33379809432071,-99.10014199464428,-97.22254492656754,-98.4383746582884,-97.11787313846204,-93.0349908810959,-87.79407611493936,-81.95374210572535,-80.17583225065624,-74.98073070821539,-72.63133855513391,-67.49638854270304,-61.987400894180496,-60.52606260835647,-55.621746387224576,-49.23069595120744,-48.02165595313254,-44.599662896920236,-38.42522518811861,-35.66780898716165	linear	0.08	624609,,
624610	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	101.96987744858862,100.98586088481002,97.54700951326582,93.29178256619147,88.21956600329224,83.55235670613104,80.02508667448973,77.64925566697045,71.13100601196652,68.35434472471191,64.12264445896109,62.39066473849214,57.676007245326126,54.28303376393916,49.826478680763586,43.263250941568785,38.953632587644506,36.17602471632647,31.085672195095356,27.88542309435804	linear	0.08	624610,,
624611	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	152.3097042149396,146.57850754525253,148.6435149123112,153.73788513266624,146.97985264081098,149.12549684775445,138.3474203940193,130.5007217847048,128.92614295585798,121.66555314630672,110.96189428409603,98.83706180918108,92.16975860990294,83.65624256510952,79.14171414582822,71.22401502080477,61.300772002971286,53.97676764587386,42.70650734067752,38.11092434290677	linear	0.08	624611,,
624612	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-31.40311568763517,-30.721581579364475,-32.29157192204348,-27.106299769175735,-25.59352928402207,-21.76316522562594,-19.78811432478326,-14.762775029455085,-12.4904174248802,-10.207977284219119,-8.67711041223209,-4.661241823474306,-3.0725349116466134,1.866473263689187,5.848876134239987,6.445099796499541,10.575190963609266,13.480213855268289,16.214460454301715,20.261609167372058	linear	0.08	624612,,
624613	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	103.29518231600626,96.08389685355446,100.82347138773054,109.82813988014729,121.00620818807744,132.03965668676432,134.87607211043505,149.4027625486621,156.9063705986602,169.92509217738638,183.46947157886297,189.55791879274938,192.43830786700414,207.61264740161698,220.43464714506683,232.39548251354014,239.73217987680164,251.6283611638056,252.50149989667057,273.0810102917021	linear	0.08	624613,,
624614	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	111.30802523291993,103.03527661395809,119.5795281399366,128.06663154447526,131.08047692849124,145.82658891490135,153.15965700994283,157.99562488343446,173.45893405597286,175.42997471804426,189.43494605620563,196.55801054172332,203.65173671086026,215.94727621950472,223.90284515782395,230.13806855486024,247.17410796671703,246.74378696108582,255.00759366175754,269.0962739575662	linear	0.08	624614,,
624615	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-24.63003929460163,-23.03443585313751,-25.891964160358867,-26.463159021824566,-24.479557618744494,-36.475864377019676,-44.03635675720763,-46.36898521457792,-59.247044963547694,-62.40012367112898,-70.11328568209115,-81.30685675599993,-87.03283161094706,-94.08767633349494,-101.44370959500183,-115.57347108623647,-123.34060702555989,-129.49876044995588,-136.8010627313445,-146.22883458255956	linear	0.08	624615,,
