ID	X	Y	cluster	func	noise	original_trajectory,,
135444	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
135296	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
134752	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
134107	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
132238	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
134265	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
132188	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
135925	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
134799	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
133247	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,50.0,75.0,90.0,100.0,107.142857143,112.5,116.666666667,120.0,122.727272727,125.0,126.923076923,128.571428571,130.0,131.25,132.352941176,133.333333333,134.210526316,135.0,135.714285714	1	hyperbolic	0.0	132000,,
